case,class,arrival,service,departure,server,arr_nis,arr_niq,sojourn,cum_arrival,arr_nservice,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2,last_remaining_los
87,0,0.7803807920077075,0.7803807920077075,1.350031521582972,30,44,0,0.5696507295752644,88,44,18,20,6,0.0810188145346582
88,2,0.8309293854662156,0.8309293854662156,0.8846426797569982,7,40,0,0.05371329429078253,89,40,16,18,6,0.5191021361167563
89,2,0.8563729273324755,0.8563729273324755,1.4004525600294024,8,40,0,0.5440796326969269,90,40,16,17,7,0.028269752424522676
90,1,0.8843360758960648,0.8843360758960648,1.097799995450702,14,37,0,0.21346391955463728,91,37,13,16,8,0.5161164841333377
91,0,0.8853874072186645,0.8853874072186645,0.9976587198864982,7,37,0,0.11227131266783374,92,37,14,16,7,0.21241258823203757
92,2,0.8882538186973822,0.8882538186973822,2.282413245613177,21,38,0,1.3941594269157949,93,38,14,17,7,0.10940490118911605
93,1,0.8915333255251503,0.8915333255251503,1.078116032798585,26,39,0,0.18658270727343473,94,39,14,17,8,1.3908799200880266
94,1,0.8919457082599921,0.8919457082599921,1.173298196323159,32,40,0,0.28135248806316693,95,40,15,17,8,0.18617032453859295
95,2,0.8961736000988029,0.8961736000988029,1.0012793620691691,13,40,0,0.10510576197036625,96,40,16,16,8,0.27712459622435615
96,1,0.8970960038747219,0.8970960038747219,2.738671614655845,39,41,0,1.8415756107811232,97,41,16,16,9,0.10418335819444724
97,0,0.9043804225680252,0.9043804225680252,0.927707056630634,40,42,0,0.02332663406260882,98,42,17,16,9,1.8342911920878198
98,1,0.9058379320984958,0.9058379320984958,1.00863114077688,42,43,0,0.10279320867838415,99,43,17,17,9,0.021869124532138184
99,0,0.9105667165027748,0.9105667165027748,1.200783108340079,25,43,0,0.2902163918373043,100,43,17,17,9,0.09806442427410522
100,0,0.9155622844530582,0.9155622844530582,1.0786379907060786,44,44,0,0.16307570625302037,101,44,17,18,9,0.28522082388702086
101,1,0.9227598752894366,0.9227598752894366,1.273619490156075,45,45,0,0.3508596148666383,102,45,17,19,9,0.15587811541664198
102,1,0.9288003626141776,0.9288003626141776,1.158772611526503,0,42,0,0.22997224891232526,103,42,16,17,9,0.34481912754189725
103,2,0.9305350144140824,0.9305350144140824,1.0299818495588815,15,43,0,0.09944683514479913,104,43,17,17,9,0.22823759711242053
104,2,0.9361906042997488,0.9361906042997488,1.306624674067755,36,44,0,0.3704340697680062,105,44,17,17,10,0.09379124525913274
105,1,0.9801855579308044,0.9801855579308044,1.3749692086182257,19,42,0,0.3947836506874213,106,42,16,15,11,0.32643911613695054
106,0,0.9804318566943976,0.9804318566943976,1.4023723970898363,37,43,0,0.4219405403954387,107,43,17,15,11,0.3945373519238281
107,0,1.0128412505872628,1.0128412505872628,1.2245238439859485,7,38,0,0.21168259339868567,108,38,15,13,10,0.3895311465025735
108,2,1.020199458783362,1.020199458783362,1.3445711341435336,13,39,0,0.32437167536017153,109,39,15,14,10,0.20432438520258644
109,1,1.025749558235307,1.025749558235307,1.136663087324904,29,40,0,0.11091352908959706,110,40,15,14,11,0.3188215759082267
110,0,1.029199135423864,1.029199135423864,1.2833832087294694,34,41,0,0.25418407330560533,111,41,16,14,11,0.10746395190103986
111,0,1.0333850102081157,1.0333850102081157,1.4125563686938436,10,40,0,0.3791713584857279,112,40,16,15,9,0.24999819852135374
112,0,1.084945615934627,1.084945615934627,1.0855817133778511,2,38,0,0.0006360974432242372,113,38,14,15,9,0.3276107527592167
113,0,1.0891544336294052,1.0891544336294052,1.3157026030875367,2,38,0,0.2265481694581315,114,38,14,15,9,-0.0035727202515540846
114,0,1.1041089593642663,1.1041089593642663,1.3031951362123346,6,37,0,0.19908617684806829,115,37,13,15,9,0.21159364372327039
115,2,1.1156081967334828,1.1156081967334828,1.4983597346170412,9,36,0,0.3827515378835584,116,36,13,14,9,0.18758693947885186
116,1,1.1179155283791575,1.1179155283791575,1.1826071571897174,14,37,0,0.0646916288105599,117,37,13,14,10,0.38044420623788366
117,0,1.1267345530681234,1.1267345530681234,1.2493664927973105,15,37,0,0.12263193972918707,118,37,13,14,10,0.055872604121594005
