,arrival,departure,sojourn,nis_arrival,arrival_count,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2
129,740.0000899999998,1063.050489831083,323.05039983108327,65,129,35,15,15
130,740.0000999999997,806.6914377925774,66.69133779257766,66,130,36,15,15
131,745.0000999999997,878.763808592824,133.7637085928243,65,131,34,15,16
132,748.0000999999997,1023.021223896599,275.0211238965993,66,132,35,15,16
133,749.0000999999997,994.6405251091745,245.64042510917477,67,133,35,15,17
134,754.0000999999997,832.4122116015163,78.41211160151659,66,134,35,15,16
135,756.0000999999997,1453.2374975511282,697.2373975511284,66,135,34,15,17
136,760.0000999999997,1508.1983907067165,748.1982907067168,66,136,34,16,16
137,763.0000999999997,827.8229444120819,64.82284441208219,65,137,33,17,15
138,764.0000999999997,977.0648648832412,213.06476488324142,65,138,33,17,15
139,765.0000999999997,2163.415613663543,1398.4155136635432,64,139,33,16,15
140,766.0000999999997,1097.2566196061625,331.2565196061628,65,140,33,17,15
141,767.0000999999997,912.8924770336623,145.89237703366257,65,141,33,17,15
142,769.0000999999997,839.7248072963607,70.72470729636098,65,142,34,17,14
143,772.0000999999997,936.2384795399922,164.23837953999248,66,143,34,17,15
144,783.0000999999997,895.2574059575503,112.25730595755056,66,144,33,17,16
145,785.0000999999997,789.0528282251166,4.05272822511688,67,145,33,17,17
146,795.0000999999997,989.8160903291443,194.8159903291446,66,146,32,17,17
147,797.0000999999997,1131.2173205394458,334.2172205394461,67,147,33,17,17
148,798.0000999999997,1421.6994683898774,623.6993683898777,68,148,34,17,17
149,801.0000999999997,967.7090311180575,166.70893111805776,67,149,34,18,15
150,805.0000999999997,1389.6998182879704,584.6997182879707,68,150,35,18,15
151,808.0000999999997,1001.4111529319898,193.41105293199007,68,151,35,19,14
152,811.0000999999997,1161.336995980394,350.3368959803943,65,152,36,19,10
153,813.0000999999997,959.3767128235528,146.37661282355305,66,153,37,19,10
154,816.0000999999997,863.6854993403704,47.68539934037062,66,154,37,19,10
155,817.0000999999997,972.6342641325833,155.63416413258358,67,155,37,19,11
156,819.0000999999997,1248.2953576748241,429.29525767482437,68,156,38,19,11
157,820.0000999999997,932.613681087124,112.6135810871242,69,157,38,20,11
158,823.0000999999997,1291.7634074454609,468.7633074454611,70,158,39,20,11
159,825.0000999999997,1406.148996367372,581.1488963673723,71,159,39,20,12
160,828.0000999999997,1507.1367927514434,679.1366927514437,71,160,38,21,12
161,830.0000999999997,942.418827425108,112.41872742510827,72,161,39,21,12
162,834.0000999999997,1032.7132836504525,198.71318365045272,70,162,39,20,11
163,835.0000999999997,977.7180738757039,142.71797387570416,71,163,40,20,11
164,837.0000999999997,1017.3346318857797,180.33453188577994,72,164,41,20,11
165,840.0000999999997,886.6205618386194,46.62046183861969,71,165,41,20,10
166,842.0000999999997,1070.031223317758,228.03112331775833,72,166,42,20,10
167,846.0000999999997,1094.761254532866,248.76115453286616,73,167,43,20,10
168,847.0000999999997,962.4908990203459,115.49079902034612,74,168,44,20,10
169,852.0000999999997,941.863131997141,89.8630319971412,74,169,43,20,11
170,852.0001099999997,1457.138980017151,605.1388700171512,75,170,44,20,11
171,856.0001099999997,1083.1567555833924,227.15664558339267,76,171,45,20,11
172,858.0001099999997,1163.373335332618,305.3732253326182,77,172,46,20,11
173,866.0001099999997,958.4223792822421,92.42226928224238,75,173,45,20,10
174,874.0001099999997,970.08477149802,96.0846614980203,76,174,46,20,10
175,877.0001099999997,1481.0929137157636,604.0928037157639,77,175,47,20,10
176,880.0001099999997,1003.4909025858245,123.4907925858248,77,176,46,21,10
177,889.0001099999997,916.3081005606215,27.30799056062176,77,177,46,21,10
178,890.0001099999997,913.9149654394341,23.914855439434405,77,178,45,21,11
179,894.0001099999997,1199.5344108506097,305.53430085060995,78,179,45,21,12
180,899.0001099999997,1116.518423004734,217.51831300473418,77,180,44,21,12
181,899.0001199999997,1044.563979206089,145.56385920608932,78,181,45,21,12
182,899.0001299999997,1248.179419340269,349.1792893402694,79,182,45,21,13
183,903.0001299999997,1311.4867118928564,408.48658189285675,80,183,46,21,13
184,908.0001299999997,1187.8247951371306,279.824665137131,80,184,46,21,13
185,908.0001399999996,1104.3154385226771,196.3152985226775,81,185,47,21,13
186,913.0001399999996,1169.3656863118106,256.36554631181093,80,186,45,21,14
187,917.0001399999996,1503.0162489473723,586.0161089473727,79,187,46,21,12
188,921.0001399999996,1286.8287523201716,365.82861232017194,79,188,46,21,12
189,921.0001499999996,968.891028330222,47.890878330222336,80,189,47,21,12
190,925.0001499999996,1040.0627803564757,115.06263035647612,81,190,48,21,12
191,927.0001499999996,1050.5641528940037,123.56400289400403,82,191,48,21,13
192,932.0001499999996,1049.8414913334243,117.84134133342468,83,192,48,21,14
193,936.0001499999996,961.6380781876804,25.637928187680814,80,193,46,21,13
194,936.0001599999996,1481.4575994399308,545.4574394399312,81,194,46,21,14
195,943.0001599999996,1106.8289246372874,163.8287646372878,79,195,45,21,13
196,944.0001599999996,1559.2726139231877,615.2724539231881,80,196,46,21,13
197,951.0001599999996,1143.9858777817542,192.9857177817546,79,197,44,22,13
198,955.0001599999996,1080.1902320673562,125.1900720673566,80,198,45,22,13
199,964.0001599999996,1515.645721816869,551.6455618168693,77,199,44,22,11
200,965.0001599999996,1217.6534282158236,252.65326821582403,78,200,45,22,11
201,966.0001599999996,996.6993271549843,30.699167154984707,79,201,46,22,11
202,971.0001599999996,1629.8856902563616,658.885530256362,77,202,44,22,11
203,974.0001599999996,1388.368790287092,414.3686302870924,76,203,42,23,11
204,981.0001599999996,1427.0216615686495,446.0215015686499,75,204,40,24,11
205,985.0001599999996,1180.243645987462,195.24348598746246,76,205,41,24,11
206,991.0001599999996,1008.4070745447749,17.406914544775304,76,206,41,24,11
207,993.0001599999996,1072.4513844024132,79.45122440241357,77,207,41,24,12
208,995.0001599999996,1203.9113354975134,208.9111754975138,77,208,40,24,13
209,1000.0001599999996,1031.3399045996362,31.33974459963656,77,209,40,24,13
210,1005.0001599999996,1207.0697807311778,202.06962073117825,76,210,38,24,14
211,1006.0001599999996,1039.2430318867198,33.242871886720195,77,211,39,24,14
212,1007.0001599999996,1168.522312055065,161.52215205506536,78,212,39,24,15
213,1011.0001599999996,1633.1834302727214,622.1832702727218,77,213,39,24,14
214,1022.0001599999996,1487.2987840645765,465.29862406457687,76,214,37,25,14
215,1024.0001599999996,1086.175531537703,62.17537153770331,76,215,38,25,13
216,1030.0001599999996,1183.6349441922218,153.63478419222224,76,216,38,25,13
217,1036.0001599999996,1286.6355549219284,250.63539492192876,75,217,38,25,12
218,1051.0001599999996,1084.9040502519122,33.90389025191257,70,218,38,24,8
219,1051.0001699999996,1090.1971099178184,39.19693991781878,71,219,39,24,8
220,1052.0001699999996,1231.0629519560316,179.06278195603204,71,220,40,24,7
221,1056.0001699999996,1226.1322705475436,170.13210054754404,72,221,41,24,7
222,1058.0001699999996,1191.8370523498415,133.83688234984197,73,222,42,24,7
223,1058.0001799999995,1268.9910106953307,210.99083069533117,74,223,42,24,8
224,1065.0001799999995,1520.4122045246659,455.4120245246663,74,224,42,24,8
225,1066.0001799999995,1245.1384763801211,179.13829638012157,75,225,43,24,8
226,1067.0001799999995,1081.6812969946116,14.681116994612012,76,226,44,24,8
227,1072.0001799999995,1326.62728231003,254.62710231003052,76,227,43,24,9
228,1075.0001799999995,1101.5698687267845,26.56968872678499,74,228,43,23,8
229,1078.0001799999995,1357.453141727934,279.4529617279345,75,229,44,23,8
230,1081.0001799999995,1246.381019919757,165.38083991975736,75,230,44,23,8
231,1082.0001799999995,1341.974281300445,259.97410130044545,75,231,45,23,7
232,1088.0001799999995,1136.646694827519,48.64651482751947,73,232,43,23,7
233,1091.0001799999995,1149.9494689090793,58.94928890907977,73,233,42,23,8
234,1091.0001899999995,1115.4143857323281,24.414195732328608,74,234,42,23,9
235,1096.0001899999995,1177.0994789467431,81.09928894674363,74,235,42,23,9
236,1099.0001899999995,1218.875423285606,119.87523328560656,74,236,42,23,9
237,1103.0001899999995,1179.4753387168641,76.47514871686462,74,237,42,23,9
238,1107.0001899999995,1208.7318035206306,101.73161352063107,72,238,41,22,9
239,1111.0001899999995,1195.5734436094383,84.57325360943878,73,239,41,22,10
240,1111.0001999999995,1264.2869866690546,153.28678666905512,74,240,42,22,10
241,1113.0001999999995,1634.5690116647509,521.5688116647514,75,241,43,22,10
242,1117.0001999999995,1187.0827052177708,70.08250521777131,74,242,41,23,10
243,1120.0001999999995,1471.7744563562346,351.7742563562351,74,243,42,23,9
244,1127.0001999999995,1186.4728066824794,59.472606682479864,75,244,43,23,9
245,1135.0001999999995,1286.455828107491,151.45562810749152,73,245,42,22,9
246,1138.0001999999995,1257.6314839299669,119.63128392996737,73,246,43,22,8
247,1140.0001999999995,1510.4320673387729,370.4318673387734,74,247,44,22,8
248,1142.0001999999995,1282.7691650520305,140.76896505203104,75,248,45,22,8
249,1143.0001999999995,1405.756844694441,262.75664469444155,76,249,45,22,9
250,1147.0001999999995,1397.4093805481232,250.4091805481237,76,250,45,22,9
251,1149.0001999999995,1880.0909279111886,731.0907279111891,77,251,46,22,9
252,1154.0001999999995,1277.2271516268406,123.22695162684113,77,252,46,23,8
253,1160.0001999999995,1338.8529254614805,178.852725461481,78,253,47,23,8
254,1161.0001999999995,1288.3385654878298,127.33836548783029,78,254,48,22,8
255,1164.0001999999995,1712.246289906083,548.2460899060834,77,255,46,22,9
256,1166.0001999999995,1269.4123200261054,103.41212002610587,78,256,46,23,9
257,1169.0001999999995,1290.8359347199385,121.83573471993896,78,257,45,23,10
258,1173.0001999999995,1267.2256767306235,94.225476730624,78,258,45,23,10
259,1175.0001999999995,1228.5737045560747,53.57350455607525,79,259,45,23,11
260,1181.0001999999995,1531.9914811413666,350.99128114136715,77,260,44,23,10
261,1185.0001999999995,1461.4605174411915,276.46031744119205,77,261,44,23,10
262,1189.0001999999995,1332.8863097092537,143.88610970925424,75,262,43,23,9
263,1195.0001999999995,1410.376136994579,215.37593699457943,75,263,44,23,8
264,1197.0001999999995,1343.0887831219443,146.0885831219448,75,264,44,23,8
265,1204.0001999999995,1429.9543905744108,225.9541905744113,74,265,44,23,7
266,1207.0001999999995,1449.6118881149896,242.6116881149901,74,266,45,22,7
